0 0 0 -nan inf inf -nan -nan 0 0
0.01 0.00510434 0.00505009 809.305 870.624 840.687 1.81548e-09 -1.08924e-09 0.0015267 0.28294
0.02 0.0102216 0.00801651 405.959 433.015 414.245 7.05644e-09 -4.23352e-09 0.00304954 0.356482
0.03 0.0153486 0.0105046 271.367 287.394 272.767 1.55e-08 -9.29891e-09 0.00456947 0.40807
0.04 0.0204841 0.0127254 204.01 214.689 202.309 2.69719e-08 -1.61806e-08 0.0060869 0.449139
0.05 0.0256273 0.0147665 163.563 171.122 160.185 4.13237e-08 -2.47894e-08 0.00760207 0.48382
0.06 0.0307776 0.016675 136.578 142.112 132.197 5.84246e-08 -3.50467e-08 0.00911514 0.514136
0.07 0.0359346 0.0184798 117.29 121.414 112.268 7.81569e-08 -4.68817e-08 0.0106263 0.541245
0.08 0.0410979 0.0202003 102.814 105.907 97.3658 1.00413e-07 -6.02298e-08 0.0121355 0.56588
0.09 0.0462673 0.0218505 91.5472 93.8586 85.8087 1.25094e-07 -7.50315e-08 0.013643 0.588539
0.1 0.0514424 0.0234404 82.5285 84.2292 76.5886 1.52109e-07 -9.12317e-08 0.0151488 0.609575
0.11 0.0566232 0.0249782 75.1451 76.3581 69.0652 1.81371e-07 -1.08779e-07 0.016653 0.629253
0.12 0.0618094 0.0264699 68.9887 69.8049 62.8121 2.12799e-07 -1.27624e-07 0.0181556 0.647771
0.13 0.0670008 0.0279208 63.7765 64.2649 57.5346 2.46319e-07 -1.47722e-07 0.0196567 0.665286
0.14 0.0721974 0.0293349 59.3064 59.5205 53.0222 2.81858e-07 -1.6903e-07 0.0211563 0.681925
0.15 0.077399 0.0307156 55.4302 55.4122 49.1211 3.19348e-07 -1.91507e-07 0.0226544 0.69779
0.16 0.0826054 0.032066 52.0367 51.8205 45.7157 3.58726e-07 -2.15114e-07 0.0241512 0.712964
0.17 0.0878165 0.0333886 49.0409 48.6539 42.7181 3.9993e-07 -2.39815e-07 0.0256466 0.727518
0.18 0.0930324 0.0346854 46.3767 45.8414 40.0597 4.42901e-07 -2.65574e-07 0.0271406 0.741512
0.19 0.0982528 0.0359585 43.9916 43.327 37.6865 4.87583e-07 -2.92358e-07 0.0286334 0.754997
0.2 0.103478 0.0372094 41.8441 41.0657 35.5555 5.33924e-07 -3.20135e-07 0.0301249 0.768017
0.21 0.108707 0.0384396 39.9001 39.0214 33.6316 5.81872e-07 -3.48874e-07 0.0316151 0.78061
0.22 0.113941 0.0396504 38.1319 37.1644 31.8865 6.31377e-07 -3.78545e-07 0.0331041 0.792809
0.23 0.119178 0.040843 36.5168 35.4701 30.2966 6.82394e-07 -4.0912e-07 0.0345918 0.804643
0.24 0.124421 0.0420184 35.0356 33.9181 28.8423 7.34877e-07 -4.40573e-07 0.0360784 0.81614
0.25 0.129667 0.0431776 33.6722 32.4913 27.5072 7.88782e-07 -4.72876e-07 0.0375638 0.827321
